employee_id,department_id,first_name,last_name,em_gender,em_birthday,em_phone,em_email,em_address,em_postcode,em_position,year_hired,skill,hourly_wage,currency_id,location_type,em_status
1,10,Michael,Higgins,Male,3/19/1991,+1 (929) 677-0032,murphywilliam@yahoo.com,1660 Preston Mission Suite 678 Lindahaven ON J7K 8A3,L2M 8L5,Automotive engineer,2021,Technical Support,29.4,1,0,0
2,2,Laura,Shepard,Other,7/30/1968,783 640 3013,christinedaniels@graves.com,3559 Jennifer Forge Suite 713 Matthewport MB G2S3J5,H9S 3H6,Industrial buyer,2011,Technical Support,48.36,1,2,1
3,20,Ann,Coleman,Female,12/18/1970,1 (138) 862-9023,kevinjones@smith-howell.com,1231 John Parks Port Ethan MB T7P 7L7,H7J6A5,Geochemist,2007,Technical Support,20.57,1,0,1
4,17,Rebecca,Kennedy,Other,10/24/1981,310 553 0737,steven74@gmail.com,992 Curtis Bypass Apt. 359 South Laurafurt PE P3E 9N6,J8K8H4,Fine artist,2024,Management,49.17,1,2,0
5,14,Melissa,Stanley,Female,5/30/1993,1 (136) 364-9200,holly79@gmail.com,5789 Charles Mountains Osborneborough QC M8A7X2,P7V8G6,Electronics engineer,2014,Cash Handling,43.9,1,0,0
6,14,Peter,Page,Female,10/3/1999,655-783-8396 x484,oarcher@leon.com,888 Faulkner Springs Amandabury PE N8L 8T2,P6C4B9,Historic buildings inspector/conservation officer,2013,Inventory Management,29.67,1,1,1
7,20,Ernest,Smith,Other,11/13/1996,(833) 194-6559 x047,melissabernard@lewis.com,36712 Rodriguez Throughway Lake Sean YT E8E 2S4,N6N 9B3,Producer television/film/video,2002,Cash Handling,41.29,1,0,0
8,7,Sarah,Spencer,Male,12/31/1976,(630) 958-1441 x651,dana94@gmail.com,41514 Robert Passage Suite 160 Brandonberg NS M6V 2E6,J7L 2R3,Air traffic controller,2009,Data Analysis,33.67,1,2,0
9,7,Angela,Smith,Female,8/25/1999,903-794-1230,rodney64@hotmail.com,92524 Jack Squares Suite 019 East Sarahchester NS L1P 7V1,L3S 3R5,Illustrator,2008,Logistics,32.5,1,1,1
10,10,James,Jenkins,Male,6/6/2005,1 (848) 866-8225,william43@yahoo.com,92467 Robin Lake Robinsonview ON V5V9B7,N5T 9T4,Insurance broker,2006,Cash Handling,16.98,1,1,0
