delivery_id,po_id,tracking_number,sender,receiver,courier,d_address,d_est_date,d_act_date,deliver_type,deliver_status
1,1,TRK-834484348,Scott Ramsey,Elizabeth Garcia,Hampton-Jones,"7041 Black Mews
North Tabitha, ON L7T1A5",2025-03-12,2025-03-15,1,0
2,2,TRK-433166731,Justin Potts,Michelle Mendez,"Rivas, Pace and Franklin","4568 Deborah Bypass Suite 714
South Nancy, QC Y3Y 9E8",2025-03-02,2025-03-01,1,0
3,3,TRK-910656125,John Butler,John Woodward,Roberts LLC,"89420 John Shore Suite 468
Kellyport, NS R2A5J1",2025-03-12,2025-03-09,1,1
4,4,TRK-858925682,Wendy Weiss,Kyle Vasquez,Hernandez LLC,"1765 Todd Station Apt. 724
East Jimmy, AB V1H 8H3",2025-02-24,2025-03-10,1,0
5,5,TRK-178936340,Christian Hale,Christina Bryant,Lane Group,"8491 Holmes Mews Suite 691
West Anthony, NT X3N 9G6",2025-02-27,,0,0
6,6,TRK-557339060,Lisa Carrillo,Teresa Thornton,Thomas Ltd,"52510 Harris Light Suite 274
Port Shawnview, NT L6R 2M2",2025-03-13,2025-02-23,1,0
7,7,TRK-689318493,Carla Martinez,Richard Jones,Lee and Sons,"14424 Davis Manor Suite 782
Port Breanna, YT H6R 3A1",2025-03-08,,1,0
8,8,TRK-138399486,Jessica Stewart,George Patterson,Mills Inc,"20782 Bradley Port Suite 720
Hinesshire, QC J4V4N7",2025-03-08,2025-02-25,0,0
9,9,TRK-917870332,Olivia Hall,Amanda Lopez,Martin and Sons,"79681 Vanessa Via Suite 674
West Jessica, ON C2V5S3",2025-03-08,2025-02-24,0,2
10,10,TRK-861844696,Kathy Flores,Cynthia Turner,Coleman-Acevedo,"240 King Road Apt. 123
Michaelside, AB P2X 1T2",2025-03-09,2025-02-28,1,1
11,11,TRK-890722702,David Sims,Miss Tina Burton,Bryant-Payne,"320 Hubbard Court Suite 222
Garciashire, AB S4Y9B9",2025-02-18,,0,0
12,12,TRK-527458436,Michael Jones,Dalton Robinson,Wolfe-Daniels,"676 Craig Summit Suite 432
Johnstonshire, PE G9G 6K3",2025-03-15,2025-02-28,0,0
13,13,TRK-831023038,Karen Boyd,Jonathan Miller,Cruz-Murray,"016 Fleming Row
Rachelhaven, SK V7H4V2",2025-02-18,2025-03-18,1,2
14,14,TRK-069924004,Marcus Ryan,April Cook,Olsen-Nguyen,"135 Manning Lakes Suite 681
East Kristen, ON L9K 8T5",2025-03-11,2025-02-24,0,2
15,15,TRK-770244543,Jennifer Salas,Jeffrey Ramirez,"Hobbs, Frost and Bean","878 Torres Ferry
Suzanneton, NT A4K 3L2",2025-02-19,,1,0
16,16,TRK-944278252,Timothy Bailey,Teresa Howard,"Williams, Grimes and Sullivan","833 Burton Plain Apt. 714
Angelamouth, NL A3C8H3",2025-02-22,2025-03-12,1,2
17,17,TRK-228329531,Anna Chan,Jason Weeks,Coleman-Levy,"4175 Alvin Forks
Rachelside, YT K3A 4A4",2025-03-11,2025-03-03,0,2
18,18,TRK-119091918,Anthony Kim,Sarah Cox,Parks-Li,"121 Diane Isle
Smithland, NS X1G2G4",2025-02-23,2025-03-15,0,0
19,19,TRK-809972962,Samantha Bailey,Derrick Roy,Hendricks Ltd,"2254 Alicia Harbors Suite 271
Paulstad, QC T9R1V7",2025-03-07,2025-03-08,1,0
20,20,TRK-485966342,Matthew Brewer,Deborah Kaiser,"Cole, Freeman and Yates","334 Miller Views Suite 437
Pearsonmouth, NL R4E 8C8",2025-03-09,,1,0
21,21,TRK-122104050,Susan Taylor,Mitchell Moran,Wright-Shannon,"623 Thomas Crossing
West Daniel, NU A8R9L3",2025-02-25,2025-03-11,1,1
22,22,TRK-573483346,Laura Martinez,Randall Stewart,Hale-Lewis,"587 Hayes Ferry Suite 380
Caseymouth, MB P1K 8P9",2025-02-26,2025-03-01,0,0
23,23,TRK-642799621,Kaitlin Thomas,Dr. Melissa Hunt,"Moore, Harrison and Sanders","02484 Pope Key Apt. 545
Carolton, NT P1E7A3",2025-02-28,2025-03-17,0,0
24,24,TRK-629528290,Cassandra Wilcox,Mr. Joseph George,Lawrence and Sons,"40930 Hart Spur Suite 071
Rogersshire, ON R2B7N8",2025-02-20,2025-03-08,1,2
25,25,TRK-532579507,Willie Richardson,Catherine Torres,Warren Group,"13886 Howe Motorway Apt. 166
North Lindahaven, ON A1L6C6",2025-02-18,2025-03-04,0,1
26,26,TRK-618003061,Isaiah Harper,Herbert Brewer,"Bryant, Stephens and Martinez","4909 Jessica Place
Tyroneview, QC S5C 7A9",2025-03-05,2025-02-28,0,1
27,27,TRK-234196918,Kyle Curtis,Elizabeth Evans,Ferguson PLC,"9446 Joseph Manor
East Andre, NU H9A 4N4",2025-03-09,2025-03-14,1,1
28,28,TRK-637478059,James Medina,Angela Spence,Robbins-Allen,"8232 Tanya Plaza
Roberttown, NL L4K 5G5",2025-03-04,,1,2
29,29,TRK-654475234,Carlos Campbell,Brandon Ward,"Henderson, Williams and Rush","45061 Miller Road Apt. 020
Lake Edwardton, YT K7C 4T2",2025-03-16,,1,2
30,30,TRK-118341694,Kenneth Chavez,Karen Myers,Austin Inc,"586 Walter Isle Suite 173
Boyerfurt, BC T5L 1G2",2025-03-04,2025-02-28,0,0
31,31,TRK-327639447,Douglas Stevens,Alexis Murphy,Phillips LLC,"9810 Gordon Junction Apt. 999
West John, NT A8B8T4",2025-02-22,2025-03-14,0,2
32,32,TRK-877804384,Melissa Roberson,Danielle Blair DDS,Barron-Walsh,"034 Robinson Forges Apt. 010
South Timothy, YT K3C4L2",2025-03-14,2025-02-24,1,2
33,33,TRK-799317118,Janice Reeves,Veronica Rose,Cooper-Rodriguez,"7293 Teresa Shore Apt. 949
Michaelfurt, YT K1X5N1",2025-03-10,2025-03-04,1,1
34,34,TRK-908524589,Erin Smith,Steven Riley,Hill LLC,"5141 Werner Hills Suite 835
North Thomasmouth, NS C4N 2S2",2025-03-16,2025-03-03,1,2
35,35,TRK-551015533,Allen Myers,Steven Cummings,Jenkins-Le,"95877 Jeffrey Throughway
Port Aliciaville, NS E9M 2R7",2025-02-25,2025-03-17,0,1
36,36,TRK-266368896,Andrea Thomas,Meghan Morris,Cook-Fields,"561 Lopez Rapid
Lake Joyborough, BC G5H 5K9",2025-02-25,,1,1
37,37,TRK-015801632,Cynthia Reynolds,Michelle Cummings,Anderson-Hill,"4600 Kathleen Cape Suite 135
Maxwellburgh, ON V3A9T5",2025-03-06,2025-02-20,0,2
38,38,TRK-837673359,Rebecca Watson,Dustin Skinner,Lopez-Wallace,"1302 Jillian Ferry
Port Colinborough, MB B9N 1V4",2025-03-05,2025-03-06,0,0
39,39,TRK-762533115,Thomas Scott,Sandy Cox,"Bryant, Turner and Villegas","9874 Matthew Rue
West Lauriemouth, NS B4R 5B9",2025-03-04,,0,1
40,40,TRK-020894588,Leon Bentley,Jessica Harris,Moran Group,"92600 David Fall Apt. 029
East Wendyberg, NL J6M1N7",2025-02-25,,0,2
41,41,TRK-203871562,Donna Garrett,Wendy Moran,Carroll-Chandler,"8103 William Ports Suite 862
Gatesfurt, QC C9L 2B4",2025-03-17,,0,1
42,42,TRK-354427482,Joanne Miller,Valerie Booth,Baker Inc,"8330 Lisa Dam
Butlermouth, QC A3R 7M7",2025-03-05,,0,0
43,43,TRK-777984124,Eric Reese,Connie Fernandez,Moore-Mcknight,"60429 Amy Brook Apt. 089
New Lonnie, PE K7A 5X5",2025-03-04,2025-02-19,0,0
44,44,TRK-500840975,Juan Keller,Daniel Sandoval,"Williams, Malone and Gutierrez","586 Wilson Crossing
Torresborough, NT B9T9R8",2025-03-11,,0,0
45,45,TRK-458026374,Zachary Valenzuela,Barbara Castillo,"Fisher, Middleton and Crane","767 Reed Mountains Suite 199
South Tiffanychester, NB V2P9E5",2025-03-03,2025-02-27,0,2
